filename	mark	label	off0	off1	span
es-S0210-56912007000900007-3	T1	ENFERMEDAD	164	166	DM
es-S0210-56912007000900007-3	T2	ENFERMEDAD	362	376	deshidratación
es-S0210-56912007000900007-3	T3	ENFERMEDAD	575	590	hiperamilasemia
es-S0210-56912007000900007-3	T4	ENFERMEDAD	715	733	pancreatitis aguda
es-S0210-56912007000900007-3	T5	ENFERMEDAD	1402	1459	formación polipoidea sésil situada junto al esfínter anal
es-S0210-56912007000900007-3	T6	ENFERMEDAD	1526	1550	adenoma velloso de recto
es-S0210-56912007000900007-3	T7	ENFERMEDAD	1669	1676	adenoma
es-S0210-48062010000100019-3	T1	ENFERMEDAD	43	62	artritis reumatoide
es-S0210-48062010000100019-3	T2	ENFERMEDAD	144	160	íleo suboclusivo
es-S0210-48062010000100019-3	T3	ENFERMEDAD	366	381	coágulo vesical
es-S0210-48062010000100019-3	T4	ENFERMEDAD	759	785	fisura en la pared vesical
es-S0210-48062010000100019-3	T5	ENFERMEDAD	1086	1116	alteración hemodinámica severa
